OA11CD,UK language,European Language (EU),European Language (non EU),European Language (non-national),West/Central Asian Language,South Asian Language,East Asian Language,Oceanic/Australian language (any),North/South American language (any),Caribbean Creole,African Language,Other Languages,Sign Language
E00016403,70.57057057057057,13.213213213213212,0.6006006006006006,0.0,1.5015015015015014,3.303303303303303,3.303303303303303,0.0,0.0,0.0,7.207207207207206,0.3003003003003003,0.0
E00016437,77.51479289940828,6.508875739644971,2.366863905325444,0.0,0.9861932938856016,2.366863905325444,7.495069033530571,0.0,0.0,0.0,2.7613412228796843,0.0,0.0
E00016439,74.56647398843931,16.184971098265894,0.8670520231213873,0.0,2.601156069364162,1.1560693641618498,1.7341040462427748,0.0,0.0,0.0,2.8901734104046244,0.0,0.0
E00016442,78.52760736196319,10.736196319018404,0.0,0.0,0.6134969325153374,2.4539877300613497,4.294478527607362,0.0,0.0,0.0,3.374233128834356,0.0,0.0
E00016399,80.63063063063063,5.405405405405405,1.3513513513513513,0.0,3.6036036036036037,1.5765765765765765,4.2792792792792795,0.0,0.0,0.0,3.153153153153153,0.0,0.0
E00016401,70.88607594936708,12.341772151898734,2.2151898734177213,0.0,3.7974683544303796,1.5822784810126582,7.2784810126582276,0.0,0.0,0.0,1.5822784810126582,0.31645569620253167,0.0
E00016406,85.9375,4.0625,0.0,0.0,1.875,0.0,4.6875,0.0,0.0,0.0,3.125,0.3125,0.0
E00016435,76.76767676767676,7.575757575757576,1.0101010101010102,0.0,2.777777777777778,1.7676767676767677,7.828282828282829,0.0,0.0,0.0,2.0202020202020203,0.25252525252525254,0.0
E00016395,76.78571428571429,14.642857142857144,0.0,0.0,1.0714285714285714,1.7857142857142858,2.857142857142857,0.0,0.0,0.0,2.857142857142857,0.0,0.0
E00016404,63.687150837988824,17.877094972067038,1.675977653631285,0.0,6.145251396648044,3.631284916201117,6.145251396648044,0.0,0.0,0.0,0.8379888268156424,0.0,0.0
E00016405,60.738255033557046,22.818791946308725,0.33557046979865773,0.0,5.704697986577181,1.6778523489932886,7.046979865771812,0.0,0.0,0.0,1.0067114093959733,0.6711409395973155,0.0
