LSOA11CD,Total,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E01003189,1593,1379,0,0,0,0,0,0,0,0,0,18,6,8,35,3,0,5,0,1,2,13,0,2,0,3,6,0,0,0,0,0,0,0,5,3,0,1,1,0,0,0,0,10,25,15,9,0,1,4,0,4,41,1,0,0,0,5,0,0,0,34,0,0,0,1,15,2,0,9,0,0,4,0,0,0,0,0,0,0,0,0,27,0,0,7,0,3,3,5,0,0,0,1,0,2,5,1,0,0,0,0,0,0
E01003190,1734,1495,0,0,0,0,0,0,0,0,0,39,12,7,40,11,1,5,0,0,3,5,2,5,2,1,2,1,1,0,1,0,0,0,12,9,3,0,0,0,0,0,0,4,29,24,15,0,4,7,0,4,28,0,0,1,0,0,6,0,0,19,0,2,0,0,9,2,1,1,1,0,2,1,0,1,0,0,0,0,0,0,18,1,3,1,3,0,1,2,2,1,0,0,0,0,0,4,1,1,1,0,0,1
E01003191,1390,1235,0,0,0,0,0,0,0,0,0,17,8,5,38,1,0,19,0,0,0,13,0,0,0,1,2,1,0,1,0,0,0,0,9,9,0,0,0,0,0,0,0,7,9,2,5,0,3,2,0,0,12,0,0,0,0,0,4,0,0,8,0,0,0,0,12,0,2,7,0,0,3,0,0,0,0,0,0,0,0,0,26,4,0,7,0,4,2,3,1,2,0,0,0,2,1,0,5,5,0,0,0,0
E01003192,1550,1312,0,1,1,0,0,0,0,0,0,27,12,3,43,9,1,13,1,1,0,5,0,6,2,2,1,1,0,0,1,0,0,0,12,12,0,0,0,0,0,0,0,1,14,8,10,0,5,0,4,1,44,2,0,0,0,2,0,0,0,38,0,0,2,0,22,0,4,12,0,0,1,0,0,5,0,0,0,0,0,0,34,0,1,4,0,10,1,1,0,4,1,3,0,4,0,5,1,1,6,6,0,0
E01003193,1506,1362,0,0,0,0,0,0,0,0,0,16,2,11,41,5,0,27,2,1,0,0,1,0,2,1,1,1,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,4,21,3,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,4,0,0,0,2,21,0,4,3,0,1,3,0,0,9,1,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,3,2,0,1
E01003194,1615,1371,0,0,0,0,0,0,0,0,0,9,7,3,60,7,4,27,0,1,10,5,0,1,0,1,3,0,0,1,0,0,0,0,48,47,0,1,0,0,0,0,0,3,18,2,8,0,6,2,0,0,51,0,2,1,0,11,7,0,0,24,0,2,4,0,12,1,3,6,0,0,1,1,0,0,0,0,0,1,1,0,22,0,0,3,0,4,6,5,0,0,0,0,1,3,0,0,0,0,0,0,0,0
E01003195,1474,1301,0,0,0,0,0,0,0,0,0,11,11,1,62,10,1,21,0,5,4,7,1,1,8,3,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,14,0,6,0,2,0,0,4,32,0,1,0,0,0,2,0,0,28,0,1,0,0,6,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,22,2,0,6,0,0,3,2,0,1,1,3,0,1,1,2,0,0,0,0,0,0
E01003196,1612,1420,0,0,0,0,0,0,0,0,0,8,4,8,52,5,1,14,0,1,1,8,0,2,12,6,1,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,3,21,13,3,0,0,3,0,0,38,1,0,0,0,1,0,0,0,32,0,0,4,0,18,0,2,5,0,0,6,4,0,0,1,0,0,0,0,0,18,1,0,4,0,3,4,5,0,0,0,0,0,0,0,1,1,1,2,2,0,0
E01003197,1553,1368,0,0,0,0,0,0,0,0,0,19,7,6,21,2,3,8,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,4,5,0,9,0,1,3,5,0,68,5,0,0,0,6,0,0,0,50,0,0,7,0,19,0,3,5,0,0,6,1,2,2,0,0,0,0,0,0,24,0,0,4,1,2,11,2,0,1,0,0,0,0,2,1,1,1,0,0,0,0
E01003198,1391,1280,1,0,0,0,0,0,0,0,0,13,7,7,32,5,6,1,1,2,2,0,0,2,0,2,0,4,1,6,0,0,0,0,8,6,1,0,0,1,0,0,0,4,13,0,2,0,0,2,0,0,7,1,1,0,0,2,0,0,0,3,0,0,0,0,10,0,0,4,1,2,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0
